,movie_title,release_date,genre,age_rating,total_gross,inflation_adjusted_gross
0,Snow White and the Seven Dwarfs,1937-12-21,Musical,All,184925485,5228953251
1,Pinocchio,1940-02-09,Adventure,All,84300000,2188229052
2,Fantasia,1940-11-13,Musical,All,83320000,2187090808
3,Song of the South,1946-11-12,Adventure,All,65000000,1078510579
4,Cinderella,1950-02-15,Drama,All,85000000,920608730
6,Lady and the Tramp,1955-06-22,Drama,All,93600000,1236035515
8,101 Dalmatians,1961-01-25,Comedy,All,153000000,1362870985
10,Babes in Toyland,1961-12-14,Musical,All,10218316,124841160
11,Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769,109581646
13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000,789612346
15,The Aristocats,1970-04-24,Musical,All,55675257,255161499
37,Splash,1984-03-09,Comedy,Parent Guidance,62599495,157057661
45,Down and Out in Beverly Hills,1986-01-31,Comedy,-17 & Parent Guidance,62134225,141183693
47,Ruthless People,1986-06-27,Comedy,-17 & Parent Guidance,71624879,162748712
51,The Color of Money,1986-10-17,Drama,-17 & Parent Guidance,52293000,117957323
52,Outrageous Fortune,1987-01-30,Comedy,-17 & Parent Guidance,52864741,113976921
57,Stakeout,1987-08-05,Comedy,-17 & Parent Guidance,65673233,141592160
60,3 Men and a Baby,1987-11-25,Comedy,Parent Guidance,167780960,353334607
61,Good Morning Vietnam,1987-12-23,Comedy,-17 & Parent Guidance,123922370,254414837
64,Return to Snowy River,1988-04-15,Adventure,Parent Guidance,13687027,28073384
65,Big Business,1988-06-10,Comedy,Parent Guidance,40150487,82352451
66,Who Framed Roger Rabbit?,1988-06-22,Comedy,Parent Guidance,154112492,316250084
67,Cocktail,1988-07-29,Drama,-17 & Parent Guidance,78222753,160442289
71,Ernest Saves Christmas,1988-11-11,Comedy,Parent Guidance,28202109,57845202
72,Oliver & Company,1988-11-18,Adventure,All,49576671,102254492
73,Beaches,1988-12-21,Drama,+13 & Parent Guidance,57041866,120381757
74,Three Fugitives,1989-01-27,Comedy,+13 & Parent Guidance,40590000,85757817
75,New York Stories,1989-03-01,Drama,Parent Guidance,10763469,22740861
77,Dead Poets Society,1989-06-02,Drama,Parent Guidance,95860116,202531517
78,"Honey, I Shrunk the Kids",1989-06-23,Adventure,Parent Guidance,130724172,276191669
79,Turner & Hooch,1989-07-28,Comedy,Parent Guidance,71079915,150176361
81,An Innocent Man,1989-10-06,Drama,-17 & Parent Guidance,19397847,40983414
82,Gross Anatomy,1989-10-20,Drama,+13 & Parent Guidance,11346186,23972012
83,The Little Mermaid,1989-11-15,Adventure,All,111543479,223726012
84,Blaze,1989-12-13,Drama,-17 & Parent Guidance,19049727,39884640
85,Stella,1990-02-02,Drama,+13 & Parent Guidance,20062347,40077147
87,Pretty Woman,1990-03-23,Romantic Comedy,-17 & Parent Guidance,178406268,356389765
88,Ernest Goes to Jail,1990-04-06,Comedy,Parent Guidance,25029569,49999822
89,Spaced Invaders,1990-04-27,Comedy,Parent Guidance,15000000,29964452
90,Fire Birds,1990-05-24,Action,+13 & Parent Guidance,14760451,29485923
91,Dick Tracy,1990-06-15,Action,Parent Guidance,103738726,207231621
92,Betsy's Wedding,1990-06-22,Comedy,-17 & Parent Guidance,19740070,39433357
93,Arachnophobia,1990-07-18,Thriller/Suspense,+13 & Parent Guidance,53208180,106290270
94,DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,All,18075331,36107823
95,Taking Care of Business,1990-08-17,Comedy,-17 & Parent Guidance,20005435,39963460
96,Mr. Destiny,1990-10-12,Comedy,+13 & Parent Guidance,15379253,30722056
97,The Rescuers Down Under,1990-11-16,Adventure,All,27931461,55796728
98,3 Men and a Little Lady,1990-11-21,Comedy,Parent Guidance,71609321,143108869
99,Green Card,1990-12-25,Romantic Comedy,+13 & Parent Guidance,29804169,59679131
100,White Fang,1991-01-18,Adventure,Parent Guidance,34729091,69540672
102,Haakon Haakonsen,1991-03-01,Adventure,Parent Guidance,15024232,30084149
103,The Marrying Man,1991-04-05,Romantic Comedy,-17 & Parent Guidance,12454768,24939118
104,Oscar,1991-04-26,Comedy,Parent Guidance,23562716,47181395
105,One Good Cop,1991-05-03,Action,-17 & Parent Guidance,11276846,22580472
106,What About Bob?,1991-05-17,Comedy,Parent Guidance,63710000,127571325
108,The Rocketeer,1991-06-21,Action,Parent Guidance,46573027,93256673
109,The Doctor,1991-07-24,Drama,+13 & Parent Guidance,37497480,75084021
110,Paradise,1991-09-18,Drama,+13 & Parent Guidance,18634643,37313540
111,Deceived,1991-09-27,Thriller/Suspense,+13 & Parent Guidance,28738096,57544453
112,Ernest Scared Stupid,1991-10-11,Comedy,Parent Guidance,14143280,28320147
113,Billy Bathgate,1991-11-01,Drama,-17 & Parent Guidance,15565363,31167691
114,Beauty and the Beast,1991-11-13,Musical,All,218951625,363017667
115,Father of the Bride,1991-12-20,Comedy,Parent Guidance,89325780,179821881
116,The Hand That Rocks the Cradle,1992-01-10,Thriller/Suspense,-17 & Parent Guidance,88036683,178831137
117,Medicine Man,1992-02-07,Drama,+13 & Parent Guidance,44948240,91304495
118,Blame it on the Bellboy,1992-03-06,Comedy,+13 & Parent Guidance,2891055,5872667
119,Noises Off...,1992-03-20,Comedy,+13 & Parent Guidance,2280148,4631720
120,Straight Talk,1992-04-03,Comedy,Parent Guidance,21202099,43068356
123,Encino Man,1992-05-22,Comedy,Parent Guidance,40057130,81369058
124,Sister Act,1992-05-29,Comedy,Parent Guidance,139605150,283583472
125,Honey I Blew Up the Kid,1992-07-17,Comedy,Parent Guidance,58662452,119162518
126,A Stranger Among Us,1992-07-17,Drama,+13 & Parent Guidance,12282994,24950752
127,3 Ninjas,1992-08-07,Action,Parent Guidance,29028000,58965304
129,Captain Ron,1992-09-18,Comedy,+13 & Parent Guidance,22518097,45741576
130,Sarafina!,1992-09-18,Drama,+13 & Parent Guidance,7306242,14841352
131,Innocent Blood,1992-09-25,Horror,-17 & Parent Guidance,4877567,9907922
132,The Mighty Ducks,1992-10-02,Comedy,Parent Guidance,50752337,103120810
133,1492: Conquest of Paradise,1992-10-09,Adventure,+13 & Parent Guidance,7099531,14421454
134,Consenting Adults,1992-10-16,Drama,-17 & Parent Guidance,21591728,43859823
135,Aladdin,1992-11-11,Comedy,All,217350219,441969178
136,The Distinguished Gentleman,1992-12-04,Comedy,-17 & Parent Guidance,46434570,94349900
137,The Muppet Christmas Carol,1992-12-11,Comedy,All,27281507,55417615
138,Alive,1993-01-15,Adventure,-17 & Parent Guidance,36299670,73914543
139,Aspen Extreme,1993-01-22,Romantic Comedy,+13 & Parent Guidance,7843388,15970955
140,Homeward Bound: The Incredible Journey,1993-02-03,Adventure,All,41833324,85182343
141,The Cemetery Club,1993-02-03,Comedy,+13 & Parent Guidance,5583621,11369541
142,Swing Kids,1993-03-05,Musical,+13 & Parent Guidance,5632086,11468231
143,A Far Off Place,1993-03-12,Adventure,Parent Guidance,12890752,26248558
144,Born Yesterday,1993-03-26,Romantic Comedy,Parent Guidance,17760754,36165012
145,The Adventures of Huck Finn,1993-04-02,Adventure,Parent Guidance,24103594,49080505
147,Indian Summer,1993-04-23,Comedy,-17 & Parent Guidance,14717851,29968953
148,Super Mario Bros.,1993-05-28,Action,Parent Guidance,20844907,42445058
149,Guilty as Sin,1993-06-04,Thriller/Suspense,-17 & Parent Guidance,22622537,46064723
150,Life With Mikey,1993-06-04,Comedy,Parent Guidance,12349549,25146538
151,What's Love Got to Do With It,1993-06-09,Drama,-17 & Parent Guidance,39100956,79618610
152,Son in Law,1993-07-02,Comedy,+13 & Parent Guidance,25989889,52921433
153,Hocus Pocus,1993-07-16,Comedy,Parent Guidance,39360491,80147079
154,Another Stakeout,1993-07-23,Comedy,+13 & Parent Guidance,20107504,40943541
157,The Joy Luck Club,1993-09-08,Drama,-17 & Parent Guidance,32790064,66768171
158,Money for Nothing,1993-09-10,Comedy,-17 & Parent Guidance,1044824,2127496
159,The Program,1993-09-24,Action,-17 & Parent Guidance,23042200,46919256
160,Cool Runnings,1993-10-01,Comedy,Parent Guidance,68856263,140392731
161,The Nightmare Before Christmas,1993-10-13,Musical,Parent Guidance,50408318,100026637
162,The Three Musketeers,1993-11-12,Adventure,Parent Guidance,53661805,109310377
163,Sister Act 2 Back in the Habit,1993-12-10,Comedy,Parent Guidance,57319029,116965668
164,Tombstone,1993-12-25,Western,-17 & Parent Guidance,56505065,115781734
165,The Air Up There,1994-01-07,Comedy,Parent Guidance,20782439,42940186
166,Cabin Boy,1994-01-07,Comedy,+13 & Parent Guidance,3469493,7168577
167,Iron Will,1994-01-14,Drama,Parent Guidance,20623071,42610902
169,Blank Check,1994-02-11,Comedy,Parent Guidance,30573770,63170804
170,Angie,1994-03-04,Comedy,-17 & Parent Guidance,9252349,19116981
171,The Ref,1994-03-09,Comedy,-17 & Parent Guidance,11325885,23401275
172,D2: The Mighty Ducks,1994-03-25,Comedy,Parent Guidance,45604206,94226333
174,White Fang 2: Myth of the White Wolf,1994-04-15,Adventure,Parent Guidance,8752399,18083994
175,The Inkwell,1994-04-22,Comedy,-17 & Parent Guidance,8864699,18316030
176,When a Man Loves a Woman,1994-04-29,Drama,-17 & Parent Guidance,50021959,103354194
177,3 Ninjas Kick Back,1994-05-06,Action,Parent Guidance,11744960,24267154
178,Renaissance Man,1994-06-03,Comedy,+13 & Parent Guidance,24172899,49945474
179,The Lion King,1994-06-15,Adventure,All,422780140,761640898
180,I Love Trouble,1994-06-29,Romantic Comedy,Parent Guidance,30806194,63651027
181,Angels in the Outfield,1994-07-15,Comedy,Parent Guidance,50236831,103798152
182,In the Army Now,1994-08-12,Comedy,Parent Guidance,28881266,59673787
183,Color of Night,1994-08-19,Thriller/Suspense,-17 & Parent Guidance,19750470,40804816
184,Camp Nowhere,1994-08-26,Comedy,Parent Guidance,10442641,21576332
186,A Simple Twist of Fate,1994-09-02,Drama,+13 & Parent Guidance,3404935,7035189
187,Quiz Show,1994-09-14,Drama,+13 & Parent Guidance,24787282,50840394
188,Terminal Velocity,1994-09-23,Action,+13 & Parent Guidance,16478900,34048315
189,Ed Wood,1994-09-30,Comedy,-17 & Parent Guidance,5828466,12042634
190,The Puppet Masters,1994-10-21,Horror,-17 & Parent Guidance,8579626,17727017
191,Squanto: A Warrior's Tale,1994-10-28,Drama,Parent Guidance,3319344,6858345
192,The Santa Clause,1994-11-11,Comedy,Parent Guidance,144833357,298369717
193,A Low Down Dirty Shame,1994-11-23,Action,-17 & Parent Guidance,29317886,60321919
194,The Jungle Book,1994-12-25,Adventure,Parent Guidance,44342956,88930321
195,Houseguest,1995-01-06,Comedy,Parent Guidance,26325256,51016522
196,Bad Company,1995-01-20,Thriller/Suspense,-17 & Parent Guidance,3523909,6829092
197,Miami Rhapsody,1995-01-27,Romantic Comedy,+13 & Parent Guidance,5086578,9857435
198,The Jerky Boys,1995-02-03,Comedy,-17 & Parent Guidance,7555256,14641561
199,Heavy Weights,1995-02-17,Comedy,Parent Guidance,17671310,34245779
200,Man of the House,1995-03-03,Comedy,Parent Guidance,40029009,77573459
201,Roommates,1995-03-03,Comedy,Parent Guidance,12076989,23404369
202,Tall Tale,1995-03-24,Western,Parent Guidance,8247627,15983331
203,A Pyromaniac's Love Story,1995-03-28,Romantic Comedy,Parent Guidance,468240,907414
204,Jefferson in Paris,1995-03-31,Drama,+13 & Parent Guidance,2461628,4770461
205,Funny Bones,1995-03-31,Comedy,-17 & Parent Guidance,529135,1025425
206,A Goofy Movie,1995-04-07,Comedy,All,35336439,68479579
207,While You Were Sleeping,1995-04-21,Romantic Comedy,Parent Guidance,81057016,157082900
208,Crimson Tide,1995-05-12,Action,-17 & Parent Guidance,91387195,177102077
209,Mad Love,1995-05-26,Drama,+13 & Parent Guidance,15446532,29934306
210,Pocahontas,1995-06-10,Adventure,All,141579773,274370957
211,Judge Dredd,1995-06-30,Action,-17 & Parent Guidance,34687912,67222776
212,Operation Dumbo Drop,1995-07-28,Adventure,Parent Guidance,24670346,47809421
213,Dangerous Minds,1995-08-11,Drama,-17 & Parent Guidance,84919401,164552293
214,A Kid in King Arthur's Court,1995-08-11,Adventure,Parent Guidance,13406717,25981285
215,The Tie That Binds,1995-09-08,Thriller/Suspense,-17 & Parent Guidance,5762795,11167895
216,Unstrung Heroes,1995-09-15,Drama,Parent Guidance,7929000,15365850
217,The Big Green,1995-09-29,Comedy,Parent Guidance,17736619,34372339
218,Dead Presidents,1995-10-04,Drama,-17 & Parent Guidance,24120194,46741467
219,The Scarlet Letter,1995-10-13,Drama,-17 & Parent Guidance,10359006,20075033
220,Feast of July,1995-10-13,Drama,-17 & Parent Guidance,293274,568342
221,Powder,1995-10-27,Drama,+13 & Parent Guidance,30833914,59727216
222,Toy Story,1995-11-22,Adventure,All,191796233,370409631
223,Father of the Bride Part II,1995-12-08,Comedy,Parent Guidance,76578911,147658438
224,Nixon,1995-12-20,Drama,-17 & Parent Guidance,13668249,26302005
225,Tom and Huck,1995-12-22,Adventure,Parent Guidance,23837227,45911517
226,Mr. Holland's Opus,1995-12-29,Drama,Parent Guidance,82582604,157508868
227,White Squall,1996-02-02,Adventure,+13 & Parent Guidance,10229300,19509726
228,Muppet Treasure Island,1996-02-16,Adventure,All,34327391,65470567
229,Mr. Wrong,1996-02-16,Romantic Comedy,+13 & Parent Guidance,12805071,24422334
230,Before and After,1996-02-23,Drama,+13 & Parent Guidance,8642118,16482589
231,Up Close & Personal,1996-03-01,Drama,+13 & Parent Guidance,51045801,97356578
232,Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,All,32709423,62384706
233,Two Much,1996-03-15,Romantic Comedy,+13 & Parent Guidance,1078555,2057055
234,Un indien dans la ville,1996-03-22,Comedy,Parent Guidance,1029731,1963937
235,James and the Giant Peach,1996-04-12,Adventure,Parent Guidance,28921264,55159783
236,Celtic Pride,1996-04-19,Comedy,+13 & Parent Guidance,9240378,17623615
237,Last Dance,1996-05-03,Drama,-17 & Parent Guidance,5857534,11171714
238,Boys,1996-05-10,Drama,+13 & Parent Guidance,21930418,41826566
239,Spy Hard,1996-05-24,Comedy,+13 & Parent Guidance,26936265,51373912
240,Eddie,1996-05-31,Comedy,+13 & Parent Guidance,31369401,59828966
241,The Rock,1996-06-07,Action,-17 & Parent Guidance,134069511,255702705
242,The Hunchback of Notre Dame,1996-06-21,Adventure,All,100138851,190988799
243,Phenomenon,1996-07-05,Drama,Parent Guidance,104636382,199559799
244,Kazaam,1996-07-17,Comedy,Parent Guidance,18880508,36009655
245,Jack,1996-08-09,Drama,+13 & Parent Guidance,58617334,111792852
246,First Kid,1996-08-30,Comedy,Parent Guidance,26465920,50465108
247,The Rich Man's Wife,1996-09-13,Thriller/Suspense,-17 & Parent Guidance,8538318,16284619
248,D3: The Mighty Ducks,1996-10-04,Comedy,Parent Guidance,22936273,43713554
249,The Associate,1996-10-25,Comedy,+13 & Parent Guidance,12772657,24333094
250,Ransom,1996-11-08,Action,-17 & Parent Guidance,136492681,259807820
252,101 Dalmatians,1996-11-27,Comedy,All,136189294,258728898
253,The Preacher's Wife,1996-12-13,Drama,Parent Guidance,48102795,91076877
254,Evita,1996-12-25,Musical,Parent Guidance,50047179,92077628
255,Metro,1997-01-17,Action,-17 & Parent Guidance,32017895,58804106
256,Prefontaine,1997-01-24,Drama,+13 & Parent Guidance,590817,1085093
257,Shadow Conspiracy,1997-01-31,Thriller/Suspense,-17 & Parent Guidance,2154540,3957025
258,That Darn Cat,1997-02-14,Comedy,Parent Guidance,18301828,33613158
259,Jungle 2 Jungle,1997-03-07,Comedy,Parent Guidance,59925026,110058379
260,The Sixth Man,1997-03-28,Comedy,+13 & Parent Guidance,14765099,27117599
261,Grosse Pointe Blank,1997-04-11,Black Comedy,-17 & Parent Guidance,28084357,51579764
262,Romy and Michele's High School Reunion,1997-04-25,Comedy,-17 & Parent Guidance,29235353,53693680
263,Gone Fishin',1997-05-30,Comedy,Parent Guidance,19745922,36265379
264,Con Air,1997-06-06,Action,-17 & Parent Guidance,101117573,185712664
265,Hercules,1997-06-13,Adventure,All,99112101,182029412
266,George Of The Jungle,1997-07-16,Comedy,Parent Guidance,105263257,193326632
267,Nothing To Lose,1997-07-18,Comedy,-17 & Parent Guidance,44480039,81692095
268,Air Bud,1997-08-01,Comedy,Parent Guidance,24646936,45266588
269,G.I. Jane,1997-08-22,Drama,-17 & Parent Guidance,48169156,88467531
270,A Thousand Acres,1997-09-19,Drama,-17 & Parent Guidance,7928412,14561324
271,Washington Square,1997-10-05,Drama,Parent Guidance,1775644,3257546
272,Rocket Man,1997-10-10,Comedy,Parent Guidance,15448043,28371890
273,Playing God,1997-10-17,Thriller/Suspense,-17 & Parent Guidance,4166918,7652965
274,Flubber,1997-11-26,Comedy,Parent Guidance,92993801,170406423
275,An American Werewolf in Paris,1997-12-25,Horror,-17 & Parent Guidance,26570463,48546161
276,Mr. Magoo,1997-12-25,Comedy,Parent Guidance,21437192,39145784
277,Kundun,1997-12-25,Drama,+13 & Parent Guidance,5686694,10236836
278,Deep Rising,1998-01-30,Action,-17 & Parent Guidance,11203026,20136775
279,Krippendorf's Tribe,1998-02-27,Comedy,+13 & Parent Guidance,7571115,13608633
280,An Alan Smithee Film: Burn Hollywood …,1998-02-27,Comedy,-17 & Parent Guidance,45779,82277
281,Meet the Deedles,1998-03-27,Comedy,Parent Guidance,4356126,7829877
282,He Got Game,1998-05-01,Drama,-17 & Parent Guidance,21567853,38766948
283,The Horse Whisperer,1998-05-15,Drama,+13 & Parent Guidance,75383563,135497531
284,"Six Days, Seven Nights",1998-06-12,Romantic Comedy,+13 & Parent Guidance,74339294,133620516
285,Mulan,1998-06-19,Adventure,All,120620254,216807832
286,Armageddon,1998-07-01,Adventure,+13 & Parent Guidance,201578182,362324957
287,Jane Austen's Mafia,1998-07-24,Comedy,+13 & Parent Guidance,19843795,35668055
288,The Parent Trap,1998-07-29,Comedy,Parent Guidance,66308518,119185667
289,Firelight,1998-09-04,Drama,-17 & Parent Guidance,784419,1409943
290,Simon Birch,1998-09-11,Drama,Parent Guidance,18253415,32809442
291,Holy Man,1998-10-09,Comedy,Parent Guidance,12069719,21694605
292,Beloved,1998-10-16,Drama,-17 & Parent Guidance,22852487,41062682
293,The Waterboy,1998-11-06,Comedy,+13 & Parent Guidance,161491646,288691833
294,I'll Be Home For Christmas,1998-11-13,Comedy,Parent Guidance,12214338,21941840
295,A Bug's Life,1998-11-20,Adventure,All,162798565,288981698
296,Enemy of the State,1998-11-20,Action,-17 & Parent Guidance,111549836,198472008
297,Rushmore,1998-12-11,Black Comedy,-17 & Parent Guidance,17105219,28392518
298,A Civil Action,1998-12-25,Drama,+13 & Parent Guidance,56709981,94139530
299,Mighty Joe Young,1998-12-25,Adventure,Parent Guidance,50632037,87906042
300,My Favorite Martian,1999-02-12,Comedy,Parent Guidance,36850101,61150849
301,The Other Sister,1999-02-26,Romantic Comedy,+13 & Parent Guidance,27807627,46145331
302,Doug's 1st Movie,1999-03-26,Adventure,All,19421271,32228598
303,Ten Things I Hate About You,1999-03-31,Romantic Comedy,+13 & Parent Guidance,38177966,63354375
305,Instinct,1999-06-04,Drama,-17 & Parent Guidance,34105207,56595842
306,Tarzan,1999-06-16,Adventure,All,171091819,283900254
307,Summer of Sam,1999-07-02,Drama,-17 & Parent Guidance,19288130,32007656
308,Inspector Gadget,1999-07-23,Comedy,Parent Guidance,97387965,161610341
309,The Sixth Sense,1999-08-06,Thriller/Suspense,+13 & Parent Guidance,293506292,485424724
310,The 13th Warrior,1999-08-27,Action,-17 & Parent Guidance,32698899,54262148
311,Breakfast of Champions,1999-09-17,Comedy,-17 & Parent Guidance,178287,295851
312,Mumford,1999-09-24,Comedy,-17 & Parent Guidance,4559569,7566363
313,"Mystery, Alaska",1999-10-01,Comedy,-17 & Parent Guidance,8891623,14755189
314,The Straight Story,1999-10-15,Drama,All,6197866,10111144
315,The Insider,1999-11-05,Drama,-17 & Parent Guidance,28965197,47794214
316,Toy Story 2,1999-11-19,Adventure,All,245852179,404450426
317,Cradle Will Rock,1999-12-08,Drama,-17 & Parent Guidance,2899970,4609153
318,Deuce Bigalow: Male Gigolo,1999-12-10,Comedy,-17 & Parent Guidance,65535067,106921374
319,Bicentennial Man,1999-12-17,Drama,Parent Guidance,58220776,94838225
320,Play it to the Bone,1999-12-24,Comedy,-17 & Parent Guidance,8427204,13180524
